"human_adipose" "human_adrenal" "human_brain" "human_heart" "human_kidney" "human_liver" "human_lung" "human_ovary" "human_pancreas" "human_sigmoid_colon" "human_small_bowel" "human_spleen" "human_testis" "mouse_adipose" "mouse_adrenal" "mouse_brain" "mouse_heart" "mouse_kidney" "mouse_liver" "mouse_lung" "mouse_ovary" "mouse_pancreas" "mouse_sigmoid_colon" "mouse_small_bowel" "mouse_spleen" "mouse_testis"
"TMEM131L" 495.0092 431.14588 176 699.01086 57.00004 681.41455 309.999560034538 1682.91601 481.0309586 564.99547 53.002044 1042.05854 458.10637 582.81246 784.68909 167.336452 160.00027 154.0022 277.2677 173.3882611 858.0027838042 337.13809 578.02295 225.05016 8331.0875 5465.4047
"TMEM132A" 44.0164 206.97754 5 43.517 1 6.73298 5 120.06791 12.60917 6.25591 4.19249 3 19.3604 16 6 9.24506 0 4.60288 10 10.999999 4.38413 24.84155 4 7 160.48339 1
"TMEM132B" 27.08419 16.0277607 289.007005 76.05542 4.012948 14.0303100976303 3.000111 102.71623 17.192301 47.1812 29.021179 8.0361 163.48326 504.075 210.873 2948.4 4 33 1 1 59.1037 21.6289 8.10193 6.06209 4.01015 30.3846
"TMEM132C" 1352 158 77 67 8 0 16 683 36 74 2 3 60 61.04172 31.03682 81.3211 4 0 0 351.127 60.07 3.0238 33.11274 0 101.3195 22.548847
"TMEM132D" 0 28 332.9996 0 0 7 1 0 16 14 14 2 84 20 18 428.00049 7 15 6.000000159645 91 20 7 55 12 26 28.00000025517
"TMEM135" 1016.91726 5049.40191 370.000248 821.44318 415 853.36332 747.05384 1371.20867 180 885.53888 3906.33994 391.0007537 882.32224 2919.004 3783.9985 1720.99525 708.99977 4688.00255 3797.99903 1678.00366 2383.00172 146.000122 1820.9979 5457.00062 1524.9983 929.62873
"TMEM136" 110.50568 1022.46352047 286.0004 597.36313 89.5608 25.9682 101 507.1553 113.47538 282.623 44.9321 127.0558 218.1145 172.289 202.423 412.659 164.18763 745.9 29.525 135.20026 360.89 27.40603 102.58089 69.1628 225.779 51.690771
"TMEM138" 426.00935 4090.9486 57.014865 384.67265 169.03797 450.70952 405.01804 1652.43612 292.86279 537.19712 841.9436 235.86996 485.64959 115.99993 42.00005 59.0001243 5.00000118 70.00002 33.99997 43.99996 120 20.84578 56.99996 24.999942 385.1353 347.9999593
"TMEM139" 22.999998 221.00003 22.99998 143.99995 366.99969 190.99998 224.9996 31.00001 83.00003 26.99995 1131.9998 7 141.0001 125 2 1 2 188 6 84 6 11 314 509 2 11
"TMEM140" 366.905 1023.02 40.8327 506.76 90.4653 391.649 318.55 1267.37695 43.659 182.078 153.274 118.655 204.369 280.67939 127.409 5.320873 60.64384 250.1184 237.7642 563.174 59.6089 119.9805 423.17152 292.40882 912.34356 22.47526
"TMEM141" 90.31377 736.40583 12 153.34011 12 60.76976 13 319.57498 47.99999 13 16 4 67.99996 97.99999 31.00005 18.99997 4 18.00003 53.99998 9 8 31.000012 10.999952 6 145 28
"TMEM143" 119.01627 312.476429 5 607.05816 28.00001 176.10489 24.00004 138.00894 34 54.0011559 40.08282 18 24.00753 90.2959745508 44.351772 23.60471 26.53229 38.180522678 48.04611 7.54623 29.1724 49.2924 57.333135 25.568401 142.08006 100.876001
"TMEM144" 183.096391 1100.12435 3415.87668 809.00941 137 78.380585 675.00011 546.84517 180.05578 416.0007 6108.130573 180.06189 675.32003 248.00009 1105.00456 224.00011 737.00000750565 491 157 119 118 4 231.9999 851.0001 30.999989 1331.9997
"TMEM147" 231.000353 4281.00125 12 462.9999183 78.99997 167.99999 136.99959 1174.0004 224.0001 79.0000122 46.0000369 21 326.00036 201.99969 84.00001 71 43.9999946247 178.99979 228 81.00002 91.00001 194.9998472672 61.00002 66 608.9999 197.00027
"TMEM14A" 68 1402 800 161 403 906 604 590 237 505 1777 138 264 138.99957 120 672 44 139.9999 104.99997 310.9996 177.9996 7 154.0001 134.99988 92 29
"TMEM14C" 308.99953 2063.56071 1015.32129 1292.25846 730.50027 586.76802 1727.6234 1676.73398 272.00026 840.9083 1634.4417 373.499885 341.26496 373 247 205 86 316 633 247 193 72 291 264 1425 110
"TMEM150A" 181.99999 413.99988 1 37.9999600218539 6 69.999960905224 13 190.000476411 62.00005 22.0000114 14 3 46.99997 5.50194 6 0.5 5.5 22.5 89.5 6 6 177.49954 1.5 5 60.99998 1
"TMEM150B" 12.99996 11 0 0 0 0 1 10 0 6.20385 16.47065 2.33494 2.004947 14.49629 3 5.23651 0 1.33366 1 3 2.23071 0 137.8609 106.95642 239.5993 9.95226
"TMEM150C" 521.8247 1106.88876 662.99928 782.04474 500.9957 372.0526 431 2513.92219 129.213 290 56 337.9998 250.243 7507.441 130.9079 399.9348 32.29921 223.21391 6.31005 91.83502 85.59507 39.5236 22.47699 7 183.83666 195.1185
"TMEM151B" 0 150.42526 215.756 1.20034 0 0 0 2.19449 3.49609 21.9467 1 0 7.563 22.3987 4.01469 277.083 1.01171 15.4131 25.3026 0 17.5753 12.0641 28.0154 28.8165 84.1266 48.4355
"TMEM154" 125.68654 86.4446 80.04812 75.1809 9.06937 56.87736 478.43147 169.64083 23.8522 195.87608 51.1281 769.71314 52.05334 717.5241 145.41764 42.2911 40.09093 31.1623 20.82197 564.52558 83.2734 42.5881 200.5441 175.42893 2113.529 118.671003
"TMEM156" 76.80737 51.16973 4.00739 8.11874 14.98043 35.47366 43.23759 41.11062 14.0148 151.37183 42.98078 549.47983 24.75643 34.99998 2 6 1 2 13 71.99998 12 2 55.00001 41.00001 939.0007 1073.9999
"TMEM158" 9 242 112 10 4 1 5 117 38 105 2 7 44 115 137 585 14 31 4 157 139 9 122 97 44 4
"TMEM159" 67.668744 124.689552 22.07987 590.93741 42.05756 21.5958238 172.89726 1175.29676 45.81403 187.29499 144.71044 32.28223 114.7437 763.9993 1630.99729 127 171.00006 253.99966 34 1034.00045 785.99998 59.00005 464.99983 194.9996 188.99953 198.99965
"TMEM161A" 28.99998 178.23786 1 19.01345 0 22.13396 0 55.52899 7.000004 5 6.56828 2.08682 12.01965 130.00036 117.999973234 70.00004 81 107.00001 73 157.0003161 100.00009 78.9999498403 96.999945 85.99995 524.00023 75.00000053
"TMEM161B" 284.12007 1139.83508 193.000385 508.00043 281 596.99199 701.593620226757 940.27997 348.79615 844.99931 3397.62284 413.99987 1053.33559 674.94532 589.0886 1004.44072 356.858181 1100.6941 517.4328 778.9167 515.7285 108.7536100894 1512.07058 2883.00968 1361.183 3827.58564022539
"TMEM163" 58.99997 1010.0001 267 19 20.00001 7 464.00047 155.00046 228.9997 71.99997 13.99999 63.00003 264.0002 1.30991 1 130.3884 26.66767 11.14813 6.10484 152.451 4.27619 68.606 6.70499 6 263.16461 21.8494
"TMEM164" 918.00029252 3544.99712 524.0003 1467.99746 131.99993 123.999745 509.00003 3217.99711 238.00044 317.999470602298 1994.00123 144.00001362624 180.000193 1463.21366011772 547.12312 249.333930085634 152.340860037574 460.339355926 141.647 889.02254 1308.95298001588 116.00000557481 1544.35985 461.06796 2371.60964008576 414.490000121993
"TMEM165" 1502.1953 5399.91401 1045.99984 1322.21751 617.00037 468.81007 3877.92667 2183.4239 1292.53428 1445.83068349 3454.81514 1311.09664 819.26554 1702.99873 1352.00072149262 912.9997 438.99997 1503.99699 373.00047 3582.00025 2859.9980501 146.99993 2495.00394 2736.0033 2017.9952 2090.0042
"TMEM167A" 1574.8445 11292.69472 1190.5768 2361.86142 1403.9334 2116.7618 3455.88648 2317.2765 1074.0002020472 1953.9753 8259.7179 1435.24901 1380.567907308 1920.997 2600.0013 2833.99613 441.9996 1994.94696 1997.998 2821.99571 4155.997 183.99955 3399.0025 6252.98941 3053.99862 1560.0024
"TMEM167B" 865.4993 7021.3512 1437.01886 2020.6652 892.0611 927.3783 2547.9035 3021.541 502.58276 2136.0432 2718.8016 1170.82063 1542.0327 2065.004 2194.9995 1410.9984 503 1852.001 1170.9977 2549 2395.0013 176 2779.9986 1812.0012 2251 1397.002
"TMEM168" 578.6309 2160.01985 498.2763 1447.3624 502.04375 648.6925 1277.7622 1384.7624 503.15377 1827.91922 3333.3408 1194.47361 839.20469 1392.001 2530.99825002042 874 681.9999 3054 1185.004995 2823 4364.9963 84 5958 1231 3704.0002 1817.9984
"TMEM169" 28.54698521 88.6806867 295.0003925 17.45150433769 41.0000248 48.34973035 39.9999698 43.882 8.0000028 51.44307777 55.21425033 20.99996758 24.6479 5 33 463.00023 2 550.9997 15 3 96 2 31 9 1 35
"TMEM17" 35.05055 333.07556 56.6013 85.978025 67 51.41943 89.06573 123.9217 55.98792 73.0373 41.10855 12.99999 149.0982 96 34 108 17 54 21 122 141 10 31 19 72 118
"TMEM170B" 573.075 1282.86 731.056 424.911 236 572.59 1154 603.363 83.7291 505.972 75.1093 433.074 653.607 1123.89 1201 2520.74 579 1075.98 1252.01 1254 2152.01 102.201 1607.74 1132 1970.69 982.846
"TMEM171" 12 6 15 1.0000001 115 19.00002 8 10 0 180.9996 899 238.0002 7 2 1 0 5 44 1 9 15.00001 15 469 50 0 4
"TMEM173" 627.53657 843.08426 7.000004 843.4481 31.00002 49.59338 324.2838 1866.556754 132.739664 242.72352 4.02221 144.9347 135.73012 171.30453 20.120702 11 6 17 27.9999591 90 55.00005 35.999970111637 58.129759 16.00005 3075.96229 32.47347
"TMEM175" 105.09533 530.06298 15.0055 80.135920216 5.00279 60.06637 8.9999929 179.18694 52.06525 52.00623 38.0537 15.99998 49.162901565 618.0937 386.72582 502.382 100.57059 653.98915 322.14111 403.7791 488.41878 81.98456 715.3335 916.6766 1296.8623 1829.53146
"TMEM176A" 437.9998871 280.99963 9 145.00021 268.00014 5858.00100519428 104.99995 2164.99700001185 36.99996 222.0001 391 19 120.999899 1970.99996 2200.0034 96 92.99997 5417.00643 1231.9998 3607.99623 2809.003 336.000343 1962.00072 1899.9999 4020.00708 495.9996
"TMEM176B" 444.99972 321.08511 7.999995 350.0409 436.9997 8281.09184 235 2677.177 48 408.9999 476.000321 43 284.0001499 602.99976 407.00019 34.00001 21.00001 1018.9998 572.00021 655.99982 536.00032 662.00073 230.99986 194.99968 4183.00332 133.9999
"TMEM177" 46.0000328892 431.9998 20.9999500515623 92.00004105631 62.9999971452 155.000220180293 25.000000243756 142.000100032635 23.00003 66.99996 275.999500147161 23.0000000705457 76.999910221241 124 158 106 75 192 124 108 156 16 99 131 261 308
"TMEM178A" 58.99998 37 474.99982 101.00003 480.99991 97.99998 54 233.99973 42 256.99979 81.99998 41 24.0000406 10 27 865 6 300 4 444 385 1 3 53 28 20
"TMEM178B" 48.0799000128702 1104.854 2066.184 1668.08000118378 42.285400047936 3.04123 13.0149000116319 120.765 54.287600104727 141.1009 3.00669 36.0316 159.27562 104.5137 1122.27246 3460.77067 10.67399 103.7034 11.6244 14.35902 314.09479 32.0636 119.3658 52.1874 58.6811 704.01509
"TMEM179" 3.43279 350.05214 19 8.822315 1 1.9320621 0 19 5.86465 16.03957 0 0 37 56.86389 3 39.07457 1 3.27625 2.57512 1.0107 33.0411 10.89753 11.3436 4.50573 39.8954 32.7892
"TMEM18" 342.464848 1526.99983 416.0005 368.45605 184.00034 382.99999 584.00045 1809.4236 310.71026 638.65933 889.99912 377.5546 425.00052 535 502.0001 877.0002 181.00032 569.9997 402.0001 714.0003 534.0003 94 864 513.9999 1226.996 2026.0036
"TMEM181" 843.983 3331.34 2286.47 770.668 327.377 990.587 1141.16 2543.47 1472.08 1860.56 9387.06 1417.75 2237.73 534.943 647.24231 2452.1068 277.459 227.66608 143.77151 664.27422 652.89026 270.649870106686 2512.0623 1550.13076 1430.91889 947.29799
"TMEM182" 55.8125 530.42848 146.83646 6003.40015 80.41936 430.3929 90.42988 448.35467 74.27905 146.2478 463.56786 118.0677 238.67476 1808 159 10 4736 89 1 211 152 3 129 29 2 8
"TMEM183A" 793.70924 2767.62957 1973.99521 910.4488 719.99977 1052.5158 1708.91391 3314.2107 684.9999 1673.9977 3196.995 854.99552 2163.6106 1169.9958 989.00033 1554.00254 232.99957 2135.99608 3321.0005 1341.00167 1147.00106 183.00048 4623.9979 4972.0025 2191.9996 2854.9954
"TMEM184B" 610.00016 1262.00071 416.99987 439.00038 131 47 232.00037 867.99972 115.9999 324.99959 224.99959 226 123.99999 177.00052243528 244 123 83.0000100234857 99.99995 123.0000888198 1053 227.000183 235.99954 268.0004 178.99994 567.99954 41
"TMEM184C" 666.45802 4529.6521 319.15857 985.22096 503.17646 1014.59161 861.19307 1760.3907 278.73439 820.76256 4125.3958 397.04277 711.65825 1985.00329 3398 3250.9984 460 2239.0032 1255.99956 1020 3220.9979 189 739.00039 443 2079.998 7465.996
"TMEM185A" 272.000385 1016.48983 114.26427 549.00727 45.99997 99.99959 123.0000007 1958.293837 67.0006 274.000583 155.000096233885 87.999970799 571.00252 572.9999 992.999 633.9993 129.9999 605.00086 360.00045 260.9997 553.9999 97.99993 312.99982 246.0004 871.00064 696.00029
"TMEM185B" 346.151 1583.65 258.409 719.689 155.013 165.75 393.039 1813.61 160.111 515.847 811.393 239.043 939.723 269 449 222 128 683 240 690 618 34 358 415 729.9995 624
"TMEM186" 64.00027 529.45871 37 220.91287 75 124.6517 99 311.27347 84.11355 123 110.4457 67 123.8454 269 315 207 133 204 130 144 345 73 261 203 881 434
"TMEM189" 689.6535 1739.2871 171.8219 415.45158 84.7835 153.836 245.5265 920.105 139.6029 352.631 322.652 125.4297 282.37323 466 95 83 40 772 62 220 85 94 199 74 896.43649 172.315
"TMEM19" 332.29464 803.22379 910.9465529 1142.2885 494.62739 737.53244 1236.47559 1014.8249 180.48399 572.37115 5616.28621 539.69006 380.36877 568.0006 626.00061 509.99967 87.00009 3234.99477 1071.0001 422.00052 705 67.00002 1073.00008 2412.99727 1351.00007 429.99944
"TMEM192" 656.1465 2903.0252 428.049 1143.855 467.61871 1662.9422 693.2557 2851.083 312.7783 580.204 1224.9884 268.6188 781.9743 290.00086 329.99962 137.00001 63.00002 228.0002 114.00011 104.00027 173.0004 31.99995 153.00018 136.00029 396.99999 187.99955
"TMEM196" 11.000008 54 32.00000241627 1 0 0 0 0 24 20.000039 2 0 1 19.1165 507.00147 1598.7492 75.177 9.03234 0 53.427 9.04258 3 75.3099 20.10163 14.07954 25.0919
"TMEM198" 11.9999566 431.0004 4.000001 4 0 2 0 39 9 2.999999 2 0 8 7 0 6.000003 0 0 0 0 1 7 1 2 9 12.000012
"TMEM199" 232.94068 1247.53837 396.99986 572.53979 317.95792 268.3458 654.96221 728.06579 236.315965 521.37114 599.94623 342.98614 425.68949 254.0002 247.99963 520.0003 57.99999 282.00023 134.99997 324.99993 197.99979 48 175 156.9996 647.9997 608.9995
"TMEM200A" 82.99996403 6005.00660563372 15 0 193.0003667 0 350.999792 1806.9966 64.0000086 138.99987795 174.00045887 32.00003968 193.9995709 63.7234 1926.6183 499.4458 10.36875 24.38887 13.9142 361.4405 732.0848 35.89029 194.5071 76.589 122.4492 241.31463
"TMEM200C" 7 430.0005 164 37 70 10 8 36 0 30 0 22 49 47.6491 3 60 1 2.01249 0 0 23 1 9.52081 2.17139 0 0
"TMEM201" 50.999913188 209.00051 41 139.999508 11 10 5 127.99999 23.0000027 22.9999654 5 19 74 95.410751 50.47228 48.86713 60.311399 39.7156 62.6166 23.0072 68.5616 82.7236 64.05458 40.26964 377.4606 94.193227
"TMEM203" 186 1024 247 951 255 366 510 1090 195 390 359 233 275 23 33 20 6 12 19 40 29 7 31 24 63 46
"TMEM204" 209 310.0002 13 175 88 28 344 252.99959 39 114 3 88 27 124.5086 127.09542 31.054 49.0665 151.99952 59.9617 798 88.9623 183.02095 36.04515 31.31198 432.7832 50.85311
"TMEM205" 177.00058 2252.48492 11 350.74889 34 581.0697 39.99999 851.270020036434 230.92421 91.89679 36.00003 14 183.19615 71.0000175762 82.00003 33.00005 14 17 334.00003 22.00003 15 45.00002 35 19 51.00005 145.99995
"TMEM206" 81.00004 230.99988 462.9997 61.99994 142.9996 30 272.9996 408.999538 46 91.99995 36 109 184.00019 140 139 94 22 332 24 218 1214 89 138 108 770 926
"TMEM208" 80.99998 1290.0038352756 14 46.00007 23.99996 146.0002633 31.99998375665 358.00036 63.99997 16.999999 35.000049 8 55 53 37 64.00008 33.99999 84.0001 123.9996 115 24.00003 86 122.00036 83.99999 491.9998 67
"TMEM209" 310.8049819 2864.20824 881.14566 516.48972 238.18167 407.44688 646.01389 875.88878 210.73627 539.31339 1426.99935 418.31649 1165.0582 1044.4723 1323.422217 794.89 216.03059 703.70175 443.11981 1037.84321 2118.12924 114.5496 1176.65367044 695.96295 1912.51996 4106.821098
"TMEM212" 54.871 125.421 24.4351 96.8 19.2347 295.69186 88.19296 290.4610803 32.3176 134.575 413.79251 84.269 149.571658 53 0 13 1 0 1 244 33 1 0 0 0 11
"TMEM214" 1336.99964 6051.00014 62.00005 648.00031 98 710.00002 149.00004 3170.99703 1014.00078 406.9995423 268.9999 114.99998 752.99979 333.2109 125.78190879 153.21677 26.03024 99.06190516473 139.36241 51.56653 195.9693 714.9626 170.2044 127.54091 757.1849 737.5768
"TMEM215" 1 1 2 0 0 0 0 36 1 1 0 0 97 0 9 337.0001 3 19.99998 2 17.99999 33 112 2 7 318 4
"TMEM216" 84.29713 439.94981 29.99998 97.00452 43.00003 53.10778 128.99994 623.2181 93.16382 120.00029 67.61115 48.00003 187.02361 229.33136 59.087305 58.10035 24.99999 49.05852 33.07751 55.047502 60.999993 25.38061 87.2066 47.000025 237.02173 185.74353
"TMEM217" 10.08021 918.58298 7.9999973 6.00132 7.000003 10 4.999997 104.1891812 6.00238 9.321726 19 3 492.031291 2 0 1 0 3.60471 1 0 0 0 2 0 3 406.1379
"TMEM218" 228.00003 1124.99966 248.99944 242.9996 192.000336 331.99989 557.00016 679.99993161 285.00028 554.000074113627 447.99992 338.99926 183.999989165957 285.263 161.322 275.72 130.295 226.307 84.3187 284.567 399.11 49.0051 347.456 118.199 157.271 438.066
"TMEM219" 391.999 2588.9963 92.00002 346.9997 176.99995 268.9997 454.9999 1609.00089 267 415.0001 1164.999621213 205.00001 1022.9997 112.44397 35.03938 26.5712 14.00592 32.97316 83.0574 65.0377 36.755 62.013659 125.56415 87.72077 608.68303 114.19344
"TMEM220" 407.66677 897.85792 44.58031 263.49345 178.24694 1758.38475 312.03161 449.01545 136.00174 483.44775 1043.2756 180.01596 375.56259 216.4254 293.35165 41.71074 61.53552 302.2944 516.6391 279.143 167.2472 18.04789 418.4069 518.9838 125.69217 39.46002
"TMEM222" 212.00049 1423.9982 3.999996 68.999927 2 44.99998 4 341.00005 39.00002 28.000005 24.99991 6 90.99994101048 108 22.000047 19 4 19 28.99995 9 16 58.000022 13.99997 2.000003 488.00044 47.99997
"TMEM229A" 0 135 115 0 1 0 0 79 1 22 963 16 292 64 20.9416 3087 2 12127 40 15 58 41 100 143 28 5.17593
"TMEM229B" 92.01715 3164.05414 54.08804 21.34069 7 26.3196 25.2658 974.0262 21.31369 65.0147 324.5052 23.433523 206.407582 550.00021 57 119.999918705 10.0000025242 16.000047 21.00000565431 95.00000325784 230.999540022182 118.00000568668 49.99997 106.99975 2818.0007 79.999962
"TMEM230" 1584.99517 7505.24486 2556.99652 3174.70522 1962.00182 2515.95561 4316.00419 5346.8419 1135.01216 3019.11512 3261.01378 1630.00046 1586.11677 964.96937 1023.63767 639.000815 320.9852 804.9998 540.99983 1023.77318 1416.9959312 66.99998 1083.301497 1242.0005 1298.3599 2218.795308
"TMEM231" 101.18233 692.6803 182.2925 199.49062049 75.83446 74.4441 270.2217 879.58818 63.56473 255.6136 964.646 62.1344 463.50615 286.2724 102.79577 97.3202 12.34663 127.64571 7.52798 78 206.4215 27.26109 65.77590419 73.424 214.5645 570.6748
"TMEM232" 14.10675 209.4692 26.00003 13.00967 75.0726 22.030095 184.0328 69.08927 10 34.011218 26.00643 11 686.55885 150 1.0000002555861 71.0000374301 4.000002228007 8 1 262.9998081092 162.999959 0 4.9999978284486 1.999999607367 1 11095.99671
"TMEM234" 70.287903792197 305.08385457201 6 121.84911 20.000007 46.71431 30.000022 231.00007 95.89141 91.00002 50.999931 24.93234 192.59554 1137.36211 354.48074 348.02296 115.01575 417.47981 372.96801 242.34094 361.35354 385.29676 755.12568 358.08218 3000.32012 621.04912
"TMEM236" 94.0227 135.506 8.51774 81.4674 7.23662 25.9904 225.976 111.733 59.5455 217.054 14803.7 46.3588 50.5421 18.2435 17.171 25.8456 8.77754 13.3642 4.05177 7.12797 16.5658 1.00321 6857.93 13920.9 21.1651 105.116
"TMEM237" 239.9999600761 2244.99713 830.9996482 1098.00017 224.0001 140.00003501833 800.0004 1499.00062 139.99991625 602.000061 30.99996 139.99999500419 499.9997158382 155.99948 255.0003 317.99991 35 274 80 600.000000485146 532.00031015 35.000012 101.99996 77.99999 147.99995 1346.00008
"TMEM238L" 2 4.000003 1 2.000003 12 6 5 5 0 85 189.9998 0 13.99998 461.9998 1 0 1 39.99995 1 0 0 1 819.9996 1434.99748 0 4
"TMEM241" 74.23234554761 211.807796 55.33648 93.48472 30.53219 69.749597 143.853 330.12613 79.74377 83.96872 96.00983 46.0267 67.27994 232.7227 222.41957 126.00004143 44.999965 222.14783 96.53506 199.99999 250.99979 27.99999 236.55849 153.27944 446.19123 205.78543
"TMEM242" 171.99999 1602.0042 383.99957 716.99951 290.00037 255.3273 436.07054 949.0004 138.0004 648.99956 632.0001 183.0001 366.09223 187.9998 174.99998 154.00044 71.99996 210.99966 165.00038 144.99984 191.00023 125.00036 157.00014 104 464.0001 320.99995
"TMEM243" 212.76011 552.23784 114.603 165.70716 270.50789 69.3812 2052.39336 593.03265 240.69066 512.57727 824.64176 709.93061 251.76655 1058.0238 894.8123 595.266 178.1663 1237.1846 2162.2074 5225.286 537.9147 95.7961 1704.1001 2734.6722 3392.195 2635.7864
"TMEM245" 2479.37409 14025.2722 2486.00061 5172.2876 1729.13828 2323.6026 4483.98933 12840.79696 651.4143 3986.19887 5515.6091 1183.53758 2826.959 4392.2485 8790.34606 3153.60295 2890.54492 5155.87086 1956.3995 2735.25067 7833.2449 447.31259 5192.3056 4403.45485 8227.36854 2149.09646
"TMEM246" 42 1760.9957 1049.001003 2217.002 126 17.99997 209 1760.9953 124 421.9997 963.00017 36 286.99972 35 30 335 97 178.00004 3 149 34 26.99995 315.99961 151 61.00002 508.0005
"TMEM248" 1432.9956 8119.00023 2048.00136 1789.99962 697 1564.6743 2092.0006 6846.97822 815.99982 2258.0020065578 4691.6541 1105.00111 2610.26126 1561.000372659 1233.9988 647 267.000346885 1025.000573413 1185 1358.000167007 1511.0014 361.00048695 1268 676 2088.996 2161.99673
"TMEM25" 88.999955 1433.0002 81 149.000017 72 195.000029 46.00001 965.00016 83.0000191536 102.00003 1054.9995 17 100.592068 13 10 87.00001 8 73.9999611 229.9997324 3 26.000033 34 22.99998 13 17.99998 10
"TMEM251" 39.1128 337.9025 108.8236 257.5273 115.3991 88.8719 540.2349 158.4433 68.80453 183.8127 357.3835 98.4198 57.48177 342 296 273 97 417 152 465 294 43 407 358 718 307
"TMEM252" 45 48 0 34 17 0 4 113 1 188 43 3 7 1186.96 433.708 69.7977 693.794 569.047 56.1629 479.241 2071.74 93.4126 2426.65 607.445 71.7716 46.0522
"TMEM253" 3.82302 65.7055 0 7.37534 3 5.12988 4.70622 12.44307 8.64688 32.37284 854.3678 4 9.88823 26.00003 11 4 7.999999 8 14 3 10 4 45.999991 58.99999 28.8903 36
"TMEM255A" 93 180 86.99998 63 88.000025189 5 82.9999671756 1626.9992 12 172.0001197222 2 53 80.0001 158.0002 1804.0078 803.00014 24 9 2 106.16666 2021.40315 133 58.00003 24 212.00021 2774.67341
"TMEM255B" 214.9996 183.99991 10 38.11467 11 33.07135 19.99998 139.00029 33.99995 42.0354 12 19.00004 52.30815 1 0 1 0 0 0 0 3 39.99991 4 1 4 1
"TMEM258" 178.8157 1517.56852 143.9997 524.99268 170.99965 542.99984 529.99964 1452.8617 533.00031 281.4677 193.94927 138.9999 375.36145 375.0005 73.00001 53.00001 41 89.99997 105.99997 132.00037 96.99998 204.00037 111.9999 92.00002 1008 556
"TMEM259" 803.00023 2278.99901 7 220.9999 11 128.00005 14 525.00026 121 99.00003 27.99993 26.99999 200.00001 60.00003 17.99999 5 8 14 44.99995 13.9999926722 6 241.999576 19.01864 13 646.47473 81.21524
"TMEM26" 26.00002 144.00001 4 29 66.99996 39.99995 50.99996 241.0002 12.00003 63.00004 87.99993 577.00034 552.9996 42 460 8 3 561 57 57 177 9 59 32 1485.99749 2
"TMEM260" 297.00467 1093.05729 542.07641 310.0244 283.00462 404.1004 489.00174 1529.11855 349.01111 851.00301 1707.1008 530.11901 495.06802 1013.68497 1526.23431 865.62189 188.22171 1370.02589 780.96837 623.16061 1786.48752 108.0538792955 1577.41008 806.05131 1626.36284 1364.0222
"TMEM263" 754.989176 5015.72883 852.08133 2100.40537 1120.13155 1507.067923 1530.8307 1825.61199 1064.75797 1917.00165 2746.92863 822.36158 1283.81972 1024.83 1197 1561.64 561.117 575.538 429.63832 2271.38 3806.68933 189.404 1921.04379 3300.81232 952.501 1473.03
"TMEM266" 15.52852 185.46881 7 17.03781 12 26.15663 8.0133473 37.8794 37.05812 26.35537 81.11813 9.01122 50.1557 17.1154 3.00477 20.87396 2 5.01291 7.07674 2.00256 8.00865 3.040346 7.16174 0 4.04092 12.27593
"TMEM267" 141.61517 657.27222 159.99994 245.33565 172.9999 156.15348 508.99983 302.18373 171.0786 489.41164 502.15572 380.00462 208.16968 501.1213 678.51774 579.14656 452.00944 1383.03846 174.0271 622.0048 944.709 70.0179 660.02597 446.541 271.4616 11649.878
"TMEM268" 540.06453 1127.2369 416.2206 127.50162 133.27725 68.19172 358.2052 1174.50535 87.294 548.4729 145.4852 471.1905 339.5378 382.99981 166.0004 120 114 185 103 216.0002 130 31 451 303 867.9992 118
"TMEM269" 17.26359 32.97037 10.36891 19.2513 3.0266 19.39198 9.1854 40.8622 8.15645 16.01 34.00309 6.37642 67.04795 25.5609 0 6.0931120534 0 5.91484 3.38838 1 48.0522 0 2.38027 2.47806 14.9085 1724.47
"TMEM273" 595.9999 76.00004 62.99996 910.99993 32 73.99992 1358.00309 653.00001 113.99998 446.0002 53.00004 719.00053 85.99993 45 2.000005 3 0 4 7 18.00005 5 0 5 22 286.00037 13
"TMEM30A" 2267.99975 8698.0008 6753.0023 3343.00159 2569.00452 3150.00466 8615.99787 5709.99634 1909 4994.00148 7847.99726 2776.99727 2530.0039 7921.02128 16933.034 28027.06236 4423.00218 18563.07918 13659.26745 25743.9890012251 15515.02875 478.01130451982 14493.1464 12188.38342 7355.64719 16627.3482
"TMEM30B" 69.1035 225.1 445.025 21.0348 437.232 332.359 1059.09 503.941 541.218 294.201 9002.51 25.0176 226.001 1663 1 0 5 1235 1180 1128 200 88 8534 5172 0 33
"TMEM33" 618.36567 5100.67743 2038.37545 1029.29691 966.1788 1822.31449 2610.08585 1885.8192 533.76438 1041.59695 5858.45701 982.22402 840.97073 2850.99906567322 5651.0050459593 6404.003521096 1195.9992156034 7781.96782 3453.99103 4729.00381441155 6302.9970927997 127.00007 4595.99843408229 5197.99469130298 2457.99874 2950.9993
"TMEM35A" 12 193.056 1041 5.00267 12 2 61 957.37748 5 1699.00313 1.00051 5 121.08359 57 13371 1571 116 425 4 211 2069 13 126 41 642 1515
"TMEM35B" 272.399 556.065 142.073 184.012 272.037 221.366 1156.6 874.026 151.817 346.564 223.489 290.684 265.634 257.653 260.9955 43.4381 18 202.1017 127.99032 218.2814 192.1296 56 208.3193 220.6448 336.065 252.9827
"TMEM37" 473 315.00032 2 34 454 937 237 805 78 215 1344.9999 19 95 29 5 1 1 69 78 10 3 3 27 29 65 5
