"human_adipose" "human_adrenal" "human_brain" "human_heart" "human_kidney" "human_liver" "human_lung" "human_ovary" "human_pancreas" "human_sigmoid_colon" "human_small_bowel" "human_spleen" "human_testis" "mouse_adipose" "mouse_adrenal" "mouse_brain" "mouse_heart" "mouse_kidney" "mouse_liver" "mouse_lung" "mouse_ovary" "mouse_pancreas" "mouse_sigmoid_colon" "mouse_small_bowel" "mouse_spleen" "mouse_testis"
"ABCG4" 4.999996 44.99996 1 41.99994 0 1 0 65.0000277 2.999997 3 0 1 86 3 29.99995 42 1 0 0 1 5 8 0 1 62.99999 1
"ABCG5" 4 48.0031 1 5 0 2355.00144 0 6.17539 1.35639 0 8343.0006 0 9.0135 19.99998 0 0 3.000002 2 1919.92361 0 4 9 135.99972 8015.0043 1 8
"ABCG8" 24.2448 37.17406 8.482437 24.74327 14.32288 4050.051 5.556977 54.33857 14.43248 25.00987 5120.678 16.29027 27.1338 4 0 0 1 2 1349.0739 2 1 21.00001 52.99996 4599.00041 1 29
"ABHD10" 305.9999114752 2901.99658 1411.99692 2124.00256 1148.99784 999.99968 1183.99884 1774.9953 418.00019 901.99967 1030.9995 872.99963 794.0002 345.00046 579 625.0002 206.99994 355.9998 164.00045 442.9997 607.9997 36.00004118 465.99972 366.0001 538.00011 805.99981
"ABHD11" 92.429956 375.12005 9.000000410401 132.0462847599 27.64310328306 48.015680473566 22.02070317853 170.12084 179.2996766916 102.935900568686 63.445330533827 6.000430380412 54.443549 122.00001 43 10.000003 16.00002 28.99998 69.99995 26.00003 24.000024 133 57.999989 20 367.0003 105.999940014033
"ABHD12" 356.0005 1320.9999 355.99955 350.00026 76.99994 142.99993 273.99969906746 1932.00031 191.99984 158.99996 622.99954 50.00002 253.99997 2641.0047 769.00011 2855.00082 199.00022 706.00028 459.99979 563.00026 1163.99983 126.00002 606.00086 1246.99989 1781.0007 1640.99841
"ABHD12B" 57.36172034 54.74081 31.91204 48.09297 17.56304025722 59.66986 37.173369 105.74812 22.43871 55.479061 65.32334 28.18865 59.98177 17.1595 3.00447 105.29420594 2.06303 9.05302 5.00194 17.01482 8.26442 6.00615 10.5213 162.772 21.9206 28.51275
"ABHD13" 378 1380 411 542 321 582 1109 663 192 753 2691 548 472 1344.999 1863.9977 1660 536 1715 866.9996 1747 2106 108 3463.994 2546.9998 2038.463 870.9996
"ABHD14A" 107.00953 813.9509 2 53.10372 3 15.70471 9.02373 164.03178 21.86614 15.8795 3.52268 5 21.01151 26.99998 8 21.99999 7.0000000343264 18.00002 21.000024 3.0000042 14.99998 64 29 16 94.00004 160.0001
"ABHD14B" 950.99964 3660.99568 75.99997 259.00021390647 334 1029.00058 359.00001 2207.0005 188.999992 380.0004 704.0003 183.99972 162.00016 1187.99957 172 70.00004 30 1363.99802 1522.99583 190 90 242.00002 307.9997 167.0002 446.00021 178.00024
"ABHD15" 550.391 275.682 74 189 146.046 649.871 219 612.763 99.8956 210 997.271 125.257 96.0112 142.322 87.8348 5 5 12 301.427 25 22 9 19.9004 32 147.977 10
"ABHD16A" 25.78406886 25.558318 44.034781 97.941725 18.019271 72.001317 55.567238 292.939946 42.791469 77.677298 94.301824 35.840147 96.5630028781 152.99995 36 53.00003 27.00003 81 53.00003 38.99998 28.00006 128.9997 58 50 436.99961 145
"ABHD17A" 162 263.4792 3 77.0001 5 36.00001 11 100.843 26.00004 40.00009 13.00002 21.99997 21.00004 12.0000064 7 1 4 8 9 9 2 30 6 8 121 22.0000000139425
"ABHD17B" 163.01033 792.643 1437.9986 290.52538 214 304.4302 389.00042 766.2551 93.07253 374.95494 2458.6002 196 589.2057 705 1878.9985 1525.00321 260.99979 1469.00403 674.0002 2862.002 1943.99935 83 3719.0069 1888.0003 3356.002 8636.9963
"ABHD17C" 43.999960424182 366.00026 314.000000068583 183.99961 416 87 760 255.999656 78 686.00015 2317.996824006 255 210.9995 440.99974 710 510 312 3565.00048 1635.0033 2641 1187 79 3872 3737.00273 956.9999 658
"ABHD18" 312.1854 795.1668 183.353909 1542.71616 210.8767 702.179016 397.3506 561.8188 373.82769 736.3377 4639.52623 354.0573 194.02979 211.80583 151.30101 372.33009 862.27692892 497.50252 689.52721 120.3436 170.67113 49.18714 466.48482 701.7366 347.40332 1236.4169
"ABHD2" 1603.81609 9354.14467 5327.21493 2061.89714 497.93 4966.415285 1162.25 12111.56097 807.72193 971.09694 6930.4539 756.11335 3128.88853 25385.798 25957.0674 1068.775 181.2842 2145.59607 2670.4025 2529.5831 3865.2284 443.6923 7614.9122 6323.792 4116.346 2886.297
"ABHD3" 257.01225 427.104 580.00042 240.0032 318.99983 1083.02719 1067.000853 403.11011868 247.12971 968.12504 4324.43417 880.07229 247.99963 222.00405 2141 997.9996 50 1593.997 1611.99525768 263 621 11 82.99998 2381.996 12.99995 356.36387
"ABHD4" 478.00032 3233.9989 49.000004 284.99959 78.0000000670668 284.0002 160.99976 4020.00298236262 132.99982 319.00002 207.99996 34 1593.9993 574.99978 2388.00105 125 57.99996116 251.99995 276.00031 200.9998 766 168.00046 261.0002 211.99955 996.99998 2330.00446
"ABHD5" 1651.60874 1396.45792 1123.00014 1255.53815 348.00024 537.219190140089 2425.00215 1804.81404 244.7849573 672.99955 2509.18441 454.19483 712.14791 1876.17562 1531.85574 569.0697433 624.99995 1341.99688446 737 1956.99816 674.0001 124.66078342 1107.99988 683.00026 524.33865 5781.08037
"ABHD6" 575.23918 1673.21849 224 169.07193 209 766.9235 228.0003 1705.87199 21.39095 335.15651 2128.87676 496 156.17644 201.0001 994 732 36 314 546 89 276 49 279.000000015038 732 413.9996 513
"ABHD8" 16 129.415 0 10 3 8 1 37 2 4 1 1 30 23.2091 24.0509 43.02196 2 16.00957 7.04905 12.0027 15.0017 32.03561 19.2079 4.13283 202.9269 148.45558
"ABI1" 907.869 2583.38725 1488.763248339 1005.31831983666 664.769102535077 775.28238 2839.00424160532 2645.55131141505 590.783151951477 1949.61361927598 5142.111816 1563.35837807 1067.1464983186 2500.45225981146 2963.52411352583 4459.56110210722 705.19455 2606.52365501738 1884.32454064358 6253.29522249869 4637.349257535 317.2679519612 9936.24850001137 5936.5196402788 6529.43893 2176.42438885565
"ABI2" 820.7982 4212.69714 3692.96907 3795.08526 913.58254 1544.76526 1115.244927 4892.70838 439.21672527587 2646.106069 1159.10198 1088.5396 3409.90414 1032.09776 1407.07850978 7113.76599 428.00015 1421.01181 233.052097 1248.00045 3215.99507 71.02702 783.42831 528.03861 592.18612 2770.39
"ABI3" 96.00003 226.1506 0 32.00002 13 21 88 136 26.00001 19.00001 6 29 11 5.89788 8.30993 2 2.30417 1.94995 5.85269 24.9888 1.35016 68.7255 9.53855 4.84957 686.84077 0
